mes,id_estudiante,programa,edad,estrato,trabaja,promedio_anterior,horas_estudio_semana,asistencia_pct,nota_final
1,M01-108,Electrica,22,6,0,4.17,14.8,82.6,4.53
1,M01-109,Civil,36,3,0,4.36,2.6,77.0,3.12
1,M01-110,Industrial,34,5,1,3.56,11.0,65.5,4.11
1,M01-111,Sistemas,30,6,1,3.32,11.8,80.7,3.57
1,M01-112,Sistemas,27,3,0,3.0,11.4,100.0,3.32
1,M01-113,Industrial,21,5,1,3.62,2.8,88.7,3.15
1,M01-114,Industrial,27,3,1,4.08,8.9,82.1,4.03
1,M01-115,Civil,29,4,1,3.86,9.5,88.7,3.26
1,M01-116,Electrica,27,4,0,3.54,12.2,86.1,3.57
1,M01-117,Civil,27,1,1,4.46,6.8,66.8,3.31
1,M01-118,Electrica,28,4,0,3.03,6.9,68.0,2.37
1,M01-119,Industrial,22,3,1,3.25,0.5,89.7,2.53
1,M01-120,Civil,31,1,0,4.1,6.2,76.4,3.5
1,M01-121,Industrial,32,3,0,2.73,17.0,93.2,3.09
1,M01-122,Industrial,25,1,0,3.03,14.3,85.1,3.42
1,M01-123,Electrica,24,3,1,3.58,0.5,84.0,2.83
1,M01-124,Electrica,37,3,1,3.94,6.9,79.4,3.21
1,M01-125,Industrial,32,6,0,3.94,6.7,100.0,3.98
1,M01-126,Industrial,21,4,0,4.22,15.2,87.5,3.86
1,M01-127,Civil,27,5,1,3.9,10.3,77.5,3.65
1,M01-128,Industrial,22,6,0,3.19,8.4,94.0,2.13
1,M01-129,Industrial,23,4,0,3.45,9.3,96.3,4.34
1,M01-130,Civil,24,6,1,3.43,0.5,82.9,2.69
1,M01-131,Civil,27,1,1,4.04,15.9,75.1,3.65
1,M01-132,Electrica,26,4,0,3.98,11.6,68.2,3.92
1,M01-133,Industrial,21,2,1,3.43,3.5,83.9,2.81
1,M01-134,Sistemas,22,3,1,2.84,19.1,75.2,3.19
1,M01-135,Sistemas,21,3,0,3.74,9.6,82.5,3.59
1,M01-136,Sistemas,27,5,0,2.92,14.5,90.0,3.66
1,M01-137,Sistemas,28,3,0,3.13,11.7,89.9,3.02
1,M01-138,Electrica,31,3,1,3.72,4.0,97.2,3.48
1,M01-139,Sistemas,31,4,0,3.76,23.7,85.6,4.27
1,M01-140,Sistemas,27,4,0,3.28,13.0,75.6,3.63
1,M01-141,Industrial,25,3,1,3.65,8.7,88.0,3.04
1,M01-142,Industrial,37,3,0,3.81,16.2,100.0,3.8
1,M01-143,Sistemas,23,3,0,4.48,2.2,87.8,3.67
1,M01-144,Sistemas,21,4,0,4.0,10.9,70.0,3.32
1,M01-145,Civil,25,2,1,3.29,8.3,71.1,2.69
1,M01-146,Industrial,28,3,0,3.42,7.3,89.3,3.63
1,M01-147,Civil,33,3,0,3.79,5.1,100.0,3.83
1,M01-148,Sistemas,25,3,0,4.04,12.7,93.9,3.88
1,M01-149,Electrica,21,2,0,3.63,8.6,94.8,3.53
1,M01-150,Sistemas,30,4,0,3.59,6.9,88.7,3.57
1,M01-151,Industrial,25,3,1,4.33,7.4,61.1,3.11
1,M01-152,Electrica,22,3,0,3.66,9.2,87.9,2.99
1,M01-153,Sistemas,23,2,0,2.69,13.1,83.1,2.79
1,M01-154,Sistemas,28,5,1,4.96,4.2,63.4,4.01
1,M01-155,Industrial,21,5,1,3.48,9.7,84.2,3.84
1,M01-156,Industrial,34,2,0,3.42,13.9,89.1,3.85
1,M01-157,Industrial,26,5,1,3.82,7.8,77.7,2.82
1,M01-158,Electrica,27,3,0,3.7,5.4,86.6,3.51
1,M01-159,Electrica,32,2,0,4.04,7.5,94.7,3.95
1,M01-160,Industrial,24,5,1,3.69,7.9,64.8,3.22
1,M01-161,Electrica,27,4,0,3.96,5.2,84.9,4.14
1,M01-162,Civil,27,3,0,3.27,3.3,74.9,3.26
1,M01-163,Civil,29,3,0,2.53,14.3,91.1,3.65
1,M01-164,Sistemas,38,2,0,3.83,8.0,68.7,3.18
1,M01-165,Sistemas,22,2,0,3.14,10.0,89.7,3.23
1,M01-166,Civil,27,3,1,2.89,1.1,77.2,2.35
1,M01-167,Sistemas,37,4,0,3.72,12.1,80.5,4.0
1,M01-168,Electrica,23,4,1,3.71,7.9,87.5,3.32
1,M01-169,Sistemas,34,3,0,3.88,5.5,96.9,3.89
1,M01-170,Sistemas,27,4,1,4.15,4.7,88.9,3.81
1,M01-171,Industrial,32,3,0,3.55,8.3,85.9,3.6
1,M01-172,Sistemas,30,1,0,2.87,4.8,100.0,3.66
1,M01-173,Sistemas,28,4,1,4.02,17.8,77.4,3.88
1,M01-174,Civil,23,4,0,3.94,4.4,93.6,3.81
1,M01-175,Sistemas,26,3,1,3.13,0.5,78.3,2.18
1,M01-176,Sistemas,30,2,0,4.55,11.3,73.7,4.12
1,M01-177,Sistemas,25,6,0,3.25,8.7,89.3,3.64
1,M01-178,Sistemas,22,3,0,4.13,11.9,81.8,4.54
1,M01-179,Industrial,23,4,0,3.98,6.3,90.3,3.76
1,M01-180,Electrica,33,2,1,3.16,5.4,92.3,3.37
1,M01-181,Electrica,34,4,1,3.41,8.3,89.8,3.83
1,M01-182,Sistemas,24,1,1,3.94,17.3,89.7,4.02
1,M01-183,Electrica,27,1,1,4.15,10.2,96.0,4.28
1,M01-184,Industrial,33,4,0,3.31,3.3,80.7,3.51
1,M01-185,Sistemas,28,6,1,3.34,4.7,75.4,2.73
1,M01-186,Industrial,27,3,0,3.03,8.0,96.1,3.5
1,M01-187,Sistemas,30,2,1,4.26,10.7,87.6,3.2
1,M01-188,Sistemas,22,3,0,4.07,16.5,79.6,3.48
1,M01-189,Sistemas,24,2,0,3.59,6.2,78.6,2.87
1,M01-190,Sistemas,30,1,1,3.03,0.5,81.0,2.54
1,M01-191,Sistemas,28,5,0,3.56,4.3,100.0,3.64
1,M01-192,Industrial,29,2,1,3.64,9.3,71.5,2.56
1,M01-193,Civil,27,4,1,3.88,14.0,73.8,3.53
1,M01-194,Industrial,21,4,1,2.78,4.8,74.1,2.38
1,M01-195,Electrica,29,4,1,3.99,11.6,62.7,2.99
1,M01-196,Civil,33,3,0,3.51,3.1,98.8,3.17
1,M01-197,Industrial,29,3,0,4.12,6.0,93.5,4.12
1,M01-198,Sistemas,30,2,0,3.91,6.1,78.2,3.48
1,M01-199,Sistemas,23,4,1,3.15,7.1,83.3,3.24
1,M01-200,Electrica,26,5,1,3.65,28.2,85.2,4.67
1,M01-201,Industrial,25,5,0,3.41,16.4,86.1,4.02
1,M01-202,Industrial,25,3,0,3.74,5.8,74.4,3.27
1,M01-203,Electrica,24,5,1,3.25,11.1,93.3,3.4
1,M01-204,Sistemas,30,5,0,3.42,8.2,85.1,3.0
1,M01-205,Civil,29,5,0,3.41,5.3,95.8,3.75
1,M01-206,Electrica,31,5,0,2.78,12.1,74.7,3.7
1,M01-207,Industrial,35,3,0,3.86,14.3,68.2,3.36
1,M01-208,Electrica,28,3,0,4.55,14.4,94.8,4.1
1,M01-209,Industrial,29,3,0,3.44,10.3,71.7,3.33
1,M01-210,Industrial,28,3,1,3.85,5.7,81.6,2.78
1,M01-211,Industrial,21,6,0,3.45,15.5,77.8,3.9
1,M01-212,Sistemas,22,1,0,2.46,12.5,89.9,2.61
1,M01-213,Electrica,29,2,1,3.18,0.6,68.3,3.2
1,M01-214,Civil,25,6,1,4.42,13.8,85.0,4.75
1,M01-215,Industrial,27,1,1,4.7,2.3,100.0,4.02
1,M01-216,Sistemas,21,2,1,3.64,0.9,80.0,2.65
1,M01-217,Industrial,28,4,0,3.25,12.3,98.7,4.05
1,M01-218,Industrial,26,2,1,4.03,2.2,93.7,3.14
1,M01-219,Sistemas,28,2,1,3.2,2.7,76.1,2.27
1,M01-220,Industrial,28,4,0,3.79,9.7,92.6,3.06
1,M01-221,Sistemas,21,3,1,3.65,2.1,78.1,2.56
1,M01-222,Electrica,32,2,0,3.28,7.7,82.3,3.75
1,M01-223,Industrial,21,3,0,3.93,7.2,92.3,4.21
1,M01-224,Electrica,26,5,0,3.62,10.8,88.3,3.87
1,M01-225,Sistemas,25,5,0,4.49,9.1,91.5,4.13
1,M01-226,Sistemas,32,4,0,4.19,4.1,82.8,3.07
1,M01-227,Electrica,27,2,0,3.69,8.2,90.5,3.37
1,M01-228,Industrial,31,3,1,3.03,6.9,88.8,2.69
1,M01-229,Electrica,28,3,1,3.18,19.5,81.4,3.5
1,M01-230,Sistemas,27,3,0,4.16,5.7,91.9,3.42
1,M01-231,Sistemas,23,1,1,4.03,0.5,62.1,3.09
1,M01-232,Civil,25,3,0,3.11,7.9,89.8,2.95
1,M01-233,Sistemas,27,2,0,3.67,3.4,63.9,2.81
1,M01-234,Industrial,28,1,0,3.28,7.5,80.0,3.39
1,M01-235,Sistemas,24,6,1,3.1,8.7,81.8,3.09
1,M01-236,Sistemas,33,6,0,2.83,12.7,82.7,3.6
1,M01-237,Sistemas,28,2,0,3.58,9.4,73.8,3.12
1,M01-238,Electrica,22,3,1,3.62,7.8,84.0,3.53
1,M01-239,Sistemas,34,4,1,3.46,10.0,89.3,2.71
1,M01-240,Sistemas,21,3,1,3.05,18.0,75.8,3.25
1,M01-241,Industrial,29,3,1,3.78,7.1,86.3,2.94
1,M01-242,Civil,25,4,0,3.37,11.0,100.0,3.59
1,M01-243,Civil,34,5,0,3.98,16.1,80.3,4.55
1,M01-244,Industrial,31,4,1,3.75,6.3,72.9,2.3
1,M01-245,Electrica,22,4,1,3.43,1.2,96.1,3.34
1,M01-246,Sistemas,32,2,0,4.08,7.4,99.6,4.31
1,M01-247,Sistemas,21,3,0,3.29,7.1,92.0,3.13
1,M01-248,Sistemas,31,3,0,3.31,11.5,71.1,3.02
1,M01-249,Sistemas,27,3,1,3.67,7.9,100.0,3.54
1,M01-250,Sistemas,23,2,1,4.0,3.6,80.6,2.53
1,M01-251,Industrial,31,3,0,3.56,5.1,92.4,3.82
1,M01-252,Sistemas,31,2,0,3.7,6.4,85.5,4.09
1,M01-253,Industrial,28,2,0,3.78,4.9,82.8,3.09
1,M01-254,Industrial,28,4,0,3.49,1.7,73.3,2.71
1,M01-255,Sistemas,29,2,1,3.77,0.5,69.5,2.97
1,M01-256,Civil,25,2,0,3.75,4.6,78.4,3.01
1,M01-257,Industrial,30,3,1,2.85,2.8,72.7,2.1
1,M01-258,Sistemas,21,2,0,4.27,18.2,73.8,4.57
1,M01-259,Industrial,21,2,0,4.34,15.9,83.5,4.32
1,M01-260,Industrial,29,3,1,3.72,7.0,87.5,3.52
1,M01-261,Industrial,29,3,0,4.15,7.6,83.3,4.27
1,M01-262,Electrica,24,1,0,3.72,15.6,86.2,3.65
1,M01-263,Industrial,22,3,1,4.03,6.8,95.5,3.63
1,M01-264,Sistemas,33,3,1,4.13,10.1,57.7,2.97
1,M01-265,Civil,25,5,1,3.46,7.5,82.2,3.44
1,M01-266,Industrial,24,3,0,3.88,6.5,93.7,3.6
1,M01-267,Sistemas,23,6,1,4.32,7.4,81.1,3.67
1,M01-268,Sistemas,31,1,0,4.18,6.3,67.5,4.02
1,M01-269,Industrial,21,3,0,4.39,6.6,78.9,3.28
1,M01-270,Industrial,26,3,1,4.36,3.0,81.0,3.51
1,M01-271,Civil,24,5,1,3.95,9.2,75.2,3.02
1,M01-272,Sistemas,26,5,0,3.22,9.9,89.9,3.55
1,M01-273,Electrica,30,3,0,3.96,12.4,82.1,3.23
1,M01-274,Civil,25,3,1,4.11,6.7,70.0,3.15
1,M01-275,Sistemas,26,4,0,4.08,3.7,78.8,3.29
1,M01-276,Electrica,21,2,1,3.39,4.4,68.7,3.15
1,M01-277,Sistemas,25,1,1,4.03,4.1,78.6,3.36
1,M01-278,Industrial,22,5,0,3.4,7.5,92.2,2.96
1,M01-279,Sistemas,28,4,1,4.02,7.1,76.7,3.11
1,M01-280,Sistemas,26,2,1,4.59,9.1,83.2,4.27
1,M01-281,Sistemas,25,3,0,3.21,15.1,81.1,3.45
1,M01-282,Electrica,28,1,0,3.48,8.3,86.3,3.47
1,M01-283,Industrial,23,3,0,3.7,5.0,86.6,3.19
1,M01-284,Electrica,22,3,1,4.29,20.6,64.6,4.44
1,M01-285,Sistemas,21,4,0,5.0,5.9,94.8,4.69
1,M01-286,Sistemas,27,3,0,3.9,4.5,97.5,4.36
1,M01-287,Sistemas,27,2,1,3.72,7.0,72.6,2.88
1,M01-288,Sistemas,27,5,0,3.59,7.2,79.8,3.11
1,M01-289,Electrica,24,4,0,2.77,20.0,81.8,3.62
1,M01-290,Civil,32,2,0,3.66,4.9,72.9,3.05
1,M01-291,Sistemas,24,2,0,3.73,17.6,76.0,3.41
1,M01-292,Sistemas,35,5,1,4.32,5.9,75.1,3.78
1,M01-293,Sistemas,26,2,1,2.66,1.8,65.3,2.48
1,M01-294,Sistemas,23,4,0,3.62,4.2,77.6,2.67
1,M01-295,Industrial,25,5,0,3.76,17.1,93.6,3.98
1,M01-296,Electrica,27,3,1,3.06,8.8,77.3,3.26
1,M01-297,Sistemas,29,6,1,4.25,7.7,74.0,2.73
1,M01-298,Industrial,35,2,1,3.74,0.5,77.8,2.87
1,M01-299,Civil,28,3,0,3.94,12.0,100.0,4.12
1,M01-300,Civil,30,2,1,3.58,2.9,86.3,2.74
2,M02-001,Sistemas,31,3,0,3.65,7.7,86.1,3.32
2,M02-002,Sistemas,21,2,0,3.41,16.5,100.0,3.18
2,M02-003,Industrial,28,2,0,3.8,13.0,88.3,3.56
2,M02-004,Civil,26,5,0,3.09,19.6,96.1,4.35
2,M02-005,Sistemas,29,2,1,3.38,18.8,74.2,3.94
2,M02-006,Civil,21,4,1,3.37,1.2,80.8,2.62
2,M02-007,Sistemas,30,4,0,3.66,4.9,72.6,3.71
2,M02-008,Sistemas,34,5,0,3.4,2.5,87.1,3.21
2,M02-009,Electrica,21,3,0,3.65,11.8,79.9,3.89
2,M02-010,Industrial,31,2,0,2.96,14.3,96.6,3.53
2,M02-011,Civil,35,2,0,3.02,10.2,91.7,3.01
2,M02-012,Industrial,31,1,1,3.77,6.6,85.2,3.23
2,M02-013,Civil,27,4,0,3.55,12.8,96.6,4.3
2,M02-014,Civil,28,4,0,3.23,5.0,82.2,2.93
2,M02-015,Electrica,25,4,1,3.69,0.5,58.9,1.65
2,M02-016,Sistemas,28,2,0,3.72,7.7,69.6,3.46
2,M02-017,Electrica,22,3,1,4.02,8.4,79.3,3.27
2,M02-018,Civil,27,1,0,3.77,4.7,73.6,2.34
2,M02-019,Industrial,23,3,1,3.25,19.2,72.1,3.38
2,M02-020,Sistemas,21,3,1,3.61,9.0,73.4,3.06
2,M02-021,Sistemas,34,3,0,4.06,11.4,87.2,3.91
2,M02-022,Electrica,21,5,0,3.85,9.0,60.0,3.55
2,M02-023,Sistemas,35,6,0,3.31,8.6,90.7,3.25
2,M02-024,Industrial,21,3,0,4.12,15.4,90.0,4.26
2,M02-025,Sistemas,31,3,0,3.27,9.6,84.1,3.0
2,M02-026,Sistemas,28,5,1,3.5,1.5,77.6,2.32
2,M02-027,Civil,21,1,0,2.78,8.7,100.0,3.15
2,M02-028,Sistemas,25,4,0,3.63,30.0,85.2,4.49
2,M02-029,Electrica,22,2,0,3.73,6.6,62.4,2.98
2,M02-030,Electrica,23,2,0,3.49,3.2,96.5,2.92
2,M02-031,Sistemas,31,5,0,3.58,9.9,74.3,3.41
2,M02-032,Sistemas,22,2,1,3.26,2.0,79.2,2.11
2,M02-033,Electrica,21,3,1,3.82,5.6,93.4,3.05
2,M02-034,Industrial,32,3,0,3.35,3.6,75.9,2.63
2,M02-035,Sistemas,29,2,0,3.84,8.7,82.1,4.12
2,M02-036,Sistemas,27,3,0,3.78,4.1,90.7,3.56
2,M02-037,Civil,26,4,0,3.63,9.9,83.0,3.58
2,M02-038,Industrial,30,4,0,3.74,9.3,91.5,4.28
2,M02-039,Industrial,29,1,1,3.73,5.4,74.3,2.53
2,M02-040,Sistemas,26,3,0,3.54,2.5,80.9,3.19
2,M02-041,Civil,24,4,1,2.94,4.2,78.4,2.93
2,M02-042,Sistemas,32,2,0,4.34,8.8,83.7,3.88
2,M02-043,Electrica,34,4,0,4.63,10.1,88.9,4.09
2,M02-044,Civil,29,3,1,3.75,6.6,87.5,3.12
2,M02-045,Sistemas,41,4,0,3.3,8.2,97.1,3.51
2,M02-046,Civil,28,2,0,3.74,8.3,73.4,3.5
2,M02-047,Civil,28,6,0,3.04,8.0,81.9,2.92
2,M02-048,Industrial,34,3,0,3.89,5.3,85.6,3.89
2,M02-049,Electrica,28,5,0,4.37,11.8,94.6,4.66
2,M02-050,Sistemas,28,2,0,3.87,11.8,93.2,4.15
2,M02-051,Electrica,25,4,0,3.89,9.8,76.5,3.01
2,M02-052,Industrial,29,3,0,2.78,10.0,100.0,3.24
2,M02-053,Sistemas,21,3,0,3.5,10.3,84.0,3.44
2,M02-054,Electrica,24,4,1,3.08,1.2,100.0,2.27
2,M02-055,Sistemas,22,3,0,4.41,6.8,78.4,3.96
2,M02-056,Electrica,21,5,0,3.62,3.9,80.3,2.78
2,M02-057,Civil,32,1,1,3.52,1.7,93.6,3.21
2,M02-058,Sistemas,25,1,0,3.91,17.4,81.7,4.45
2,M02-059,Sistemas,23,2,0,4.14,1.8,86.4,3.42
2,M02-060,Sistemas,29,4,0,3.95,9.1,96.1,4.41
2,M02-061,Industrial,21,3,1,3.34,5.0,84.8,2.47
2,M02-062,Electrica,31,4,1,3.84,2.7,98.4,3.81
2,M02-063,Industrial,33,6,0,3.92,7.1,80.0,3.62
2,M02-064,Electrica,21,3,0,3.54,10.4,87.8,3.51
2,M02-065,Civil,32,4,0,4.0,4.5,79.6,3.37
2,M02-066,Sistemas,28,2,1,3.35,6.7,86.7,3.59
2,M02-067,Electrica,32,4,1,3.94,10.3,88.6,3.63
2,M02-068,Industrial,28,2,0,4.2,11.5,90.6,3.97
2,M02-069,Industrial,23,6,1,3.89,0.5,70.3,3.64
2,M02-070,Industrial,21,5,0,3.3,6.1,90.5,3.28
2,M02-071,Sistemas,22,4,0,3.91,13.5,77.1,4.66
2,M02-072,Sistemas,25,2,0,4.09,4.8,79.3,3.46
2,M02-073,Sistemas,32,5,1,4.02,6.4,75.9,3.49
2,M02-074,Industrial,30,4,0,3.29,10.5,86.9,3.08
2,M02-075,Sistemas,28,3,0,3.69,10.5,90.0,3.43
2,M02-076,Sistemas,34,2,0,3.74,15.3,79.1,3.82
2,M02-077,Sistemas,21,4,1,5.0,11.2,77.5,3.64
2,M02-078,Electrica,22,5,0,4.03,4.1,100.0,3.47
2,M02-079,Electrica,22,3,0,3.61,7.6,84.1,3.08
2,M02-080,Electrica,27,2,1,4.25,2.2,83.2,3.12
2,M02-081,Electrica,21,2,0,3.62,9.8,79.6,3.86
2,M02-082,Sistemas,24,4,1,3.72,3.4,99.8,3.14
2,M02-083,Electrica,33,2,0,4.46,10.0,79.3,3.9
2,M02-084,Industrial,32,4,1,4.31,3.5,77.8,3.02
2,M02-085,Civil,34,4,0,3.88,11.7,82.8,3.96
2,M02-086,Sistemas,24,1,1,3.39,5.8,77.0,2.97
2,M02-087,Sistemas,22,3,0,2.37,2.5,92.7,2.98
2,M02-088,Electrica,28,3,0,3.78,6.1,82.7,3.59
2,M02-089,Industrial,23,3,0,3.3,8.7,90.9,3.68
2,M02-090,Industrial,27,2,0,4.21,6.2,100.0,4.0
2,M02-091,Electrica,26,2,0,4.25,5.6,75.3,4.15
2,M02-092,Sistemas,29,4,0,3.15,9.5,81.0,2.71
2,M02-093,Industrial,34,4,0,3.13,9.0,76.2,3.26
2,M02-094,Electrica,33,3,0,3.52,7.7,85.3,3.05
2,M02-095,Industrial,31,1,1,3.77,21.6,74.1,3.42
2,M02-096,Civil,26,5,1,4.14,5.4,83.5,3.36
2,M02-097,Civil,30,2,0,3.11,11.6,54.9,2.67
2,M02-098,Sistemas,25,2,0,2.73,7.7,93.2,3.27
2,M02-099,Electrica,23,3,1,3.55,9.0,72.6,3.19
2,M02-100,Industrial,21,5,1,3.45,0.5,80.7,2.4
2,M02-101,Sistemas,24,2,0,3.62,7.8,65.9,2.98
2,M02-102,Sistemas,29,3,0,4.32,8.5,95.1,4.29
2,M02-103,Electrica,30,3,1,3.43,4.1,59.7,2.67
2,M02-104,Electrica,27,4,0,4.13,11.9,72.2,4.28
2,M02-105,Sistemas,30,5,0,3.56,17.1,85.9,3.69
