id_solicitud,fecha_solicitud,programa,modalidad,edad,estado_civil,promedio_pregrado,experiencia_anios,puntaje_examen,ingresos_hogar,nota_entrevista,admitido,admitido_texto
S00500,25/09/2025,Sistemas,Presencial,27,Soltero,"3,41",1.6,287,-999.0,4.2,1,Admitido
S00527,07/09/2025,Sistemas,Virtual,35,Soltero ,"2,99",,253,1490000.0,,0,No admitido
S00530,07/12/2025,Sistemas,Presencial,26,Soltero,"3,52",,309,-999.0,,0,No admitido
S00386,07/10/2025,Industrial,Presencial,24,Soltero ,"4,52",5.2,322,3150000.0,,1,Admitido
S00325,05/09/2025,Electrica,Presencial,26,Soltero,"3,34",4.6,310,1060000.0,,1,Admitido
S00156,10/09/2025,Electrica,Presencial,30,soltero,"4,15",0.1,393,2520000.0,,1,Admitido
S00237,01/12/2025,Industrial,Virtual,39,Soltero,"3,52",0.0,336,1060000.0,,1,Admitido
S00294,12/10/2025,Industrial,Presencial,38,Casado,"3,55",5.4,243,1220000.0,,1,Admitido
S00486,29/12/2025,Sistemas,Presencial,31,Casado,"3,69",3.6,293,1320000.0,,0,No admitido
S00371,27/10/2025,Sistemas,Presencial,33,Soltero,"4,52",7.6,345,3960000.0,,1,Admitido
S00389,09/09/2025,Electrica,Presencial,21,Soltero,"3,82",4.6,385,1000000.0,,1,Admitido
S00537,03/11/2025,Sistemas,Presencial,35,Union libre,"4,37",5.1,277,2220000.0,4.1,1,Admitido
S00418,23/10/2025,Sistemas,Presencial,37,CASADO ,"3,48",5.7,309,4190000.0,,1,Admitido
S00355,16/10/2025,Sistemas,Virtual,31,soltero,"4,03",7.2,274,1220000.0,,1,Admitido
S00372,26/09/2025,Sistemas,Virtual,24,Soltero,"3,46",2.2,350,1660000.0,,1,Admitido
S00133,28/11/2025,Sistemas,Virtual,31,Soltero,"3,93",0.0,398,48720000.0,,1,Admitido
S00385,20/11/2025,Sistemas,Virtual,35,Soltero,"3,90",7.8,-,1830000.0,2.7,0,No admitido
S90008,06/12/2025,Industrial,Presencial,28,Casado,"3,94",4.7,340,1000000.0,,1,Admitido
S00516,30/10/2025,Sistemas,Virtual,28,Casado,"3,68",3.3,376,-999.0,3.9,1,Admitido
S00499,03/10/2025,Industrial,Virtual,31,Soltero,"4,35",6.8,290,1500000.0,,1,Admitido
S00510,15/10/2025,Sistemas,Presencial,26,Soltero ,"3,63",2.0,238,1000000.0,4.2,0,No admitido
S00575,07/11/2025,Industrial,Virtual,29,Casado,"4,20",0.0,389,4020000.0,3.6,1,Admitido
S00240,15/09/2025,Electrica,Presencial,32,Casado,"3,33",2.8,312,1000000.0,4.0,1,Admitido
S00135,16/09/2025,Electrica,Presencial,29,Casado,"3,83",3.7,299,5960000.0,3.7,0,No admitido
S00203,07/10/2025,Industrial,Virtual,30,Casado,"3,73",,306,2240000.0,,1,Admitido
S00273,14/10/2025,Sistemas,Presencial,27,Soltero ,"4,57",5.0,280,2500000.0,,1,Admitido
S00109,02/12/2025,Sistemas,Presencial,34,Soltero,"4,44",4.2,385,2000000.0,3.8,1,Admitido
S00099,23/12/2025,Sistemas,Presencial,28,Soltero,"3,83",3.2,335,46800000.0,4.0,1,Admitido
S00143,08/09/2025,Sistemas,Virtual,29,Soltero,"3,53",5.3,343,6780000.0,,0,No admitido
S00505,27/11/2025,Industrial,Presencial,28,Union libre,"3,23",7.1,315,1000000.0,,1,Admitido
S00596,12/10/2025,Industrial,Presencial,31,Soltero,"3,39",2.9,289,1000000.0,,0,No admitido
S00274,20/12/2025,Electrica,Virtual,21,Soltero,"4,21",8.1,245,-999.0,,1,Admitido
S00448,05/09/2025,Industrial,Virtual,37,Casado,"3,47",,339,1000000.0,,0,No admitido
S00221,18/11/2025,Electrica,Presencial,28,Casado,"4,47",5.9,266,-999.0,,1,Admitido
S00260,08/12/2025,Sistemas,Presencial,30,Soltero,"3,61",0.1,321,1450000.0,,1,Admitido
S00100,15/09/2025,Sistemas,Presencial,26,Soltero,"3,80",4.6,283,1260000.0,,0,No admitido
S00343,12/12/2025,Industrial,Virtual,29,Soltero,"3,56",5.4,282,2070000.0,,0,No admitido
S00214,25/11/2025,Industrial,Presencial,39,Soltero,"4,11",6.5,269,2720000.0,,1,Admitido
S00572,13/10/2025,Sistemas,Virtual,29,Soltero,"3,13",4.0,285,4940000.0,,0,No admitido
S00567,04/12/2025,Sistemas,Presencial,21,Soltero,"3,73",3.9,233,2460000.0,3.5,1,Admitido
S00180,07/12/2025,Sistemas,Presencial,29,Soltero,"3,22",0.0,255,1870000.0,4.3,0,No admitido
S00147,20/11/2025,Sistemas,Virtual,29,Soltero,"3,96",,389,2130000.0,3.8,1,Admitido
S00169,24/11/2025,Sistemas,Virtual,30,CASADO ,"3,88",,335,2920000.0,,1,Admitido
S00317,09/09/2025,Electrica,Virtual,34,union libre,"3,49",,260,1190000.0,,0,No admitido
S00271,16/09/2025,Industrial,Presencial,28,Soltero,"3,45",5.9,307,2270000.0,3.6,1,Admitido
S00110,22/11/2025,Industrial,Presencial,27,Soltero,"4,03",3.3,244,1630000.0,,0,No admitido
S00014,20/12/2025,Sistemas,Presencial,31,Casado,"3,95",5.6,317,2290000.0,,0,No admitido
S00410,18/11/2025,Electrica,Virtual,23,Soltero,"4,38",2.4,275,1000000.0,,1,Admitido
S00061,19/09/2025,Industrial,Presencial,37,Soltero,"3,21",1.5,236,53600000.0,,0,No admitido
S00506,19/12/2025,Industrial,Virtual,-5,Soltero,"3,12",3.3,325,1450000.0,,0,No admitido
S00570,16/09/2025,Sistemas,Presencial,35,Union libre,"4,57",3.1,299,2210000.0,,1,Admitido
S00284,03/12/2025,Industrial,Presencial,32,Soltero,"3,92",0.4,347,1000000.0,,1,Admitido
S00262,23/12/2025,Industrial,Presencial,24,Casado,"3,13",7.3,304,1420000.0,,1,Admitido
S00451,20/09/2025,Industrial,Presencial,22,Soltero,"3,54",6.3,354,1300000.0,3.2,1,Admitido
S00309,06/10/2025,Sistemas,Presencial,21,Soltero,"3,47",4.8,324,2540000.0,3.8,1,Admitido
S00004,05/11/2025,Sistemas,Presencial,32,Soltero,"3,94",3.1,332,2070000.0,,1,Admitido
S00420,08/09/2025,Sistemas,Presencial,23,Casado,"3,78",2.4,331,2910000.0,3.6,1,Admitido
S00262,23/12/2025,Industrial,Presencial,24,Casado,"3,13",7.3,304,1420000.0,,1,Admitido
S00561,21/09/2025,Industrial,Virtual,40,Soltero,"4,19",8.7,255,1630000.0,4.4,0,No admitido
S00188,08/11/2025,Sistemas,Presencial,36,Union libre,"3,30",1.7,N/D,-999.0,4.5,1,Admitido
S00321,24/09/2025,Electrica,Presencial,32,Soltero,"3,67",3.6,381,-999.0,5.0,1,Admitido
S00053,29/11/2025,Sistemas,Virtual,30,union libre,"3,71",0.9,365,2290000.0,3.5,1,Admitido
S00018,16/09/2025,Electrica,Presencial,35,soltero,"4,24",6.3,361,4800000.0,3.1,1,Admitido
S00398,19/11/2025,Sistemas,Presencial,26,Casado,"3,36",5.0,339,3740000.0,,1,Admitido
S00051,27/09/2025,Sistemas,Virtual,25,Casado,"3,70",,289,5310000.0,4.0,1,Admitido
S00192,01/12/2025,Industrial,Presencial,34,Casado,"3,44",4.8,293,4640000.0,,1,Admitido
S00116,24/11/2025,Industrial,Presencial,24,Soltero,"3,25",4.5,403,1000000.0,,1,Admitido
S90007,27/09/2025,Sistemas,Virtual,25,Casado,"3,70",,289,5310000.0,4.0,1,Admitido
S00464,06/09/2025,Sistemas,Virtual,33,Casado,"3,93",1.9,383,2790000.0,,1,Admitido
S00545,23/10/2025,Industrial,Presencial,31,Soltero,"3,30",5.8,311,3900000.0,,0,No admitido
S00592,21/10/2025,Industrial,Presencial,27,Soltero,"3,64",2.2,223,1160000.0,,0,No admitido
S00054,20/12/2025,Sistemas,Presencial,38,Unión libre,"3,97",7.0,248,1690000.0,2.4,0,No admitido
S00058,26/12/2025,Sistemas,Presencial,36, SOLTERO,"4,35",3.7,260,1950000.0,3.3,0,No admitido
S00241,15/09/2025,Sistemas,Presencial,38,Casado,"3,73",8.2,349,1040000.0,4.8,1,Admitido
S00524,26/09/2025,Industrial,Presencial,25,Soltero,"3,52",3.4,334,1840000.0,5.0,1,Admitido
S00031,31/10/2025,Industrial,Presencial,27,Soltero,"3,84",1.1,319,3990000.0,,1,Admitido
S00282,16/10/2025,Sistemas,Presencial,33,soltero,"4,51",2.9,347,1460000.0,,1,Admitido
S00056,29/11/2025,Sistemas,Virtual,26,Soltero,"4,35",4.6,296,1620000.0,3.4,1,Admitido
S00382,26/09/2025,Sistemas,Presencial,31,Soltero,"3,37",5.5,259,1000000.0,,0,No admitido
S00453,12/09/2025,Electrica,Presencial,27,Casado,"4,55",2.6,265,1000000.0,,1,Admitido
S00023,07/10/2025,Industrial,Virtual,39,Casado,"3,78",3.5,320,4000000.0,,1,Admitido
S00380,23/12/2025,Electrica,Virtual,29,Soltero,"3,66",,308,-999.0,,1,Admitido
S00215,08/09/2025,Electrica,Presencial,21,Soltero ,"3,55",6.1,290,-999.0,,1,Admitido
S00441,23/11/2025,Industrial,Presencial,25,Soltero ,"2,90",3.2,303,2960000.0,,0,No admitido
S00052,17/09/2025,Industrial,Presencial,31,Casado,"3,57",4.8,357,2840000.0,,1,Admitido
S00047,08/11/2025,Sistemas,Virtual,31,Soltero,"3,95",2.0,323,3700000.0,,1,Admitido
S00210,16/11/2025,Sistemas,Virtual,22,Soltero,"4,37",6.5,242,2430000.0,,1,Admitido
S00522,04/11/2025,Industrial,Presencial,29,Union libre,"4,09",1.8,338,1370000.0,3.5,1,Admitido
S00141,19/11/2025,Industrial,Presencial,28,Soltero,"3,93",9.2,335,1180000.0,3.1,1,Admitido
S00559,07/12/2025,Sistemas,Virtual,24,Casado,"4,14",3.9,304,1270000.0,,1,Admitido
S00515,16/11/2025,Electrica,Virtual,32,Soltero,"3,57",5.0,331,1550000.0,3.7,1,Admitido
S00443,08/10/2025,Sistemas,Presencial,32,Union libre,"3,42",4.5,386,2770000.0,,1,Admitido
S00398,19/11/2025,Sistemas,Presencial,26,Casado,"3,36",5.0,339,3740000.0,,1,Admitido
S00466,23/12/2025,Sistemas,Presencial,28,Casado,"3,50",1.1,345,1830000.0,4.0,1,Admitido
S00467,08/11/2025,Electrica,Virtual,30,Soltero,"3,63",2.2,382,1270000.0,,1,Admitido
S00253,03/12/2025,Sistemas,Presencial,33,Casado,"3,55",0.6,300,-999.0,,0,No admitido
S00223,09/12/2025,Industrial,Virtual,32,Union libre,"4,50",6.9,347,3270000.0,,1,Admitido
S00393,16/10/2025,Industrial,Virtual,29,Soltero,"3,87",1.5,274,4690000.0,,0,No admitido
S00454,08/11/2025,Industrial,Presencial,27,Union libre,"3,99",4.4,276,5940000.0,4.2,0,No admitido
S00098,20/09/2025,Sistemas,Presencial,21,CASADO ,"4,43",6.4,239,4880000.0,4.6,0,No admitido
S00468,31/10/2025,Electrica,Presencial,29,Union libre,"4,76",5.6,297,1260000.0,3.6,1,Admitido
S00562,07/11/2025,Sistemas,Presencial,29,soltero,"3,46",2.8,315,3920000.0,,1,Admitido
S00459,14/11/2025,Industrial,Presencial,28,Soltero,"4,22",2.3,316,2240000.0,3.0,0,No admitido
S00024,30/11/2025,Sistemas,Presencial,23,casado,"4,20",2.6,350,6610000.0,,1,Admitido
S00488,19/11/2025,Industrial,Presencial,38,CASADO ,"3,74",4.6,326,1740000.0,,1,Admitido
S00356,07/10/2025,Sistemas,Presencial,32,Casado,"3,13",3.8,332,2150000.0,3.9,1,Admitido
S00293,12/11/2025,Electrica,Presencial,25,Soltero,"4,84",6.6,345,4630000.0,4.2,1,Admitido
S00301,28/12/2025,Industrial,Presencial,28,Soltero,"3,82",2.9,377,2250000.0,4.0,1,Admitido
S00581,15/12/2025,Electrica,Presencial,41,Soltero,"4,26",3.4,312,3090000.0,4.7,1,Admitido
S00243,28/10/2025,Industrial,Presencial,30,Casado,"3,90",3.6,308,3890000.0,3.6,0,No admitido
S00589,22/11/2025,Industrial,Presencial,23,Soltero,"3,34",4.3,306,-999.0,,1,Admitido
S00307,02/12/2025,Sistemas,Presencial,26,Casado,"4,12",4.8,409,3850000.0,,1,Admitido
S00285,27/11/2025,Industrial,Presencial,27,Casado,"3,76",3.0,230,1750000.0,,0,No admitido
S00193,27/12/2025,Sistemas,Virtual,30,Soltero,"4,07",3.2,283,2410000.0,3.5,1,Admitido
S00599,27/09/2025,Industrial,Presencial,30,Casado,"3,97",,229,-999.0,,0,No admitido
S00083,01/12/2025,Industrial,Presencial,21,Soltero,"3,66",9.5,299,1800000.0,,1,Admitido
S00577,11/11/2025,Industrial,Presencial,26,Soltero,"3,49",,323,2290000.0,4.7,1,Admitido
S00233,06/12/2025,Electrica,Presencial,27,Soltero,"4,66",1.7,390,3800000.0,,1,Admitido
S00402,02/09/2025,Electrica,Virtual,31,Union libre,"3,79",2.9,289,2370000.0,,1,Admitido
S00039,09/11/2025,Electrica,Presencial,29,Union libre,"4,10",2.6,367,-999.0,,1,Admitido
S00550,07/12/2025,Sistemas,Presencial,27,Soltero,"3,81",2.2,362,1440000.0,3.6,1,Admitido
S00011,14/09/2025,Sistemas,Virtual,30,Soltero,"3,79",3.6,343,1600000.0,,1,Admitido
S00566,30/10/2025,Electrica,Virtual,29, SOLTERO,"3,55",9.9,306,4810000.0,2.8,1,Admitido
S00033,14/11/2025,Sistemas,Presencial,21,Union libre,"4,27",0.7,292,3320000.0,3.0,1,Admitido
S00205,12/09/2025,Industrial,Virtual,33,Soltero,"4,51",2.6,291,3910000.0,,0,No admitido
S00381,16/12/2025,Sistemas,Presencial,31,Soltero,"4,51",3.4,321,1400000.0,3.6,1,Admitido
S00432,06/11/2025,Sistemas,Virtual,34,Casado,"3,75",0.7,263,4210000.0,,1,Admitido
S00415,07/11/2025,Sistemas,Presencial,27,Casado,"3,70",4.3,311,3930000.0,3.8,1,Admitido
S00026,06/12/2025,Industrial,Presencial,28,Casado,"3,94",4.7,340,1000000.0,,1,Admitido
S00306,02/11/2025,Sistemas,Presencial,22,Union libre,"4,17",8.6,281,1380000.0,3.0,1,Admitido
S00587,14/11/2025,Electrica,Presencial,32,Soltero,"4,61",,364,1830000.0,3.8,1,Admitido
S00305,30/10/2025,Industrial,Presencial,32,Casado,"3,65",4.8,362,-999.0,,1,Admitido
S00323,16/09/2025,Industrial,Presencial,30,CASADO ,"3,68",,276,1570000.0,,0,No admitido
S00455,18/09/2025,Industrial,Virtual,26,Soltero ,"3,58",3.1,353,1500000.0,,1,Admitido
S00581,15/12/2025,Electrica,Presencial,41,Soltero,"4,26",3.4,312,3090000.0,4.7,1,Admitido
S00090,29/11/2025,Sistemas,Virtual,31,Casado,"3,46",1.6,293,2220000.0,,0,No admitido
S00066,20/12/2025,Sistemas,Presencial,21,Union libre,"3,70",,381,2910000.0,,1,Admitido
S00378,18/12/2025,Industrial,Virtual,21,CASADO ,"3,85",6.0,299,-999.0,,1,Admitido
S00341,27/11/2025,Sistemas,Presencial,29,Soltero,"4,03",4.1,295,2580000.0,,1,Admitido
S00194,15/12/2025,Industrial,Presencial,24,Casado,"4,09",9.4,324,4090000.0,3.7,1,Admitido
S00290,11/11/2025,Electrica,Presencial,28,Soltero,"3,94",5.5,305,4860000.0,,1,Admitido
S00431,20/11/2025,Industrial,Presencial,35,Soltero,"3,33",3.6,210,-999.0,4.9,0,No admitido
S00337,06/11/2025,Industrial,Virtual,36,Soltero,"4,03",,322,2870000.0,4.0,0,No admitido
S00229,07/12/2025,Electrica,Presencial,41,Casado,"3,89",2.8,310,1250000.0,4.2,1,Admitido
S00358,13/12/2025,Industrial,Virtual,23,Soltero,"5,00",3.8,338,1630000.0,5.0,1,Admitido
S00376,01/09/2025,Electrica,Virtual,210,Soltero,"3,80",2.7,418,1360000.0,,1,Admitido
S00041,26/10/2025,Sistemas,Presencial,38,Unión libre,"3,84",4.2,378,3650000.0,4.5,1,Admitido
S00450,11/11/2025,Electrica,Presencial,30,Casado,"4,02",0.0,264,2200000.0,,1,Admitido
S00236,07/11/2025,Sistemas,Presencial,31,Casado,"4,36",4.8,323,8120000.0,,1,Admitido
S00319,09/09/2025,Sistemas,Presencial,21,Soltero,"3,43",4.1,290,1540000.0,,1,Admitido
S00173,17/10/2025,Industrial,Presencial,31,Soltero,"3,64",2.9,249,1000000.0,2.9,0,No admitido
S00278,08/09/2025,Industrial,Presencial,21,Soltero,"4,48",1.0,309,3500000.0,,1,Admitido
S00526,02/12/2025,Industrial,Virtual,37,Union libre,"4,04",2.6,252,-999.0,3.8,0,No admitido
S00573,12/10/2025,Electrica,Presencial,25,Soltero,"4,34",2.6,264,3150000.0,,1,Admitido
S00330,01/12/2025,Sistemas,Virtual,29,casado,"4,48",7.6,312,1150000.0,5.0,1,Admitido
S00245,19/10/2025,Sistemas,Presencial,21,Union libre,"3,53",3.0,369,-999.0,,1,Admitido
S00057,06/12/2025,Electrica,Presencial,23,Soltero,"4,36",,257,2330000.0,,1,Admitido
S00218,23/09/2025,Electrica,Presencial,30,Soltero,"4,15",5.6,293,3670000.0,,1,Admitido
S00072,08/11/2025,Sistemas,Presencial,26, SOLTERO,"4,30",4.8,299,4140000.0,,1,Admitido
S00417,01/11/2025,Electrica,Presencial,30,Union libre,"4,03",0.0,330,1550000.0,,1,Admitido
S00405,06/10/2025,Sistemas,Presencial,30,Soltero,"3,13",5.8,380,1830000.0,5.0,1,Admitido
S00091,21/12/2025,Sistemas,Presencial,31,Soltero,"3,93",2.0,269,2460000.0,,0,No admitido
S00167,29/10/2025,Industrial,Presencial,21,Union libre,"3,53",6.7,368,2510000.0,,1,Admitido
S00286,20/09/2025,Sistemas,Presencial,29,Unión libre,"3,89",5.1,275,2910000.0,,1,Admitido
S00171,24/12/2025,Industrial,Virtual,23,Soltero,"3,30",4.8,209,-999.0,,0,No admitido
S00055,04/09/2025,Sistemas,Presencial,25,Soltero,"4,12",1.7,287,1000000.0,4.9,1,Admitido
S00395,09/12/2025,Sistemas,Virtual,24,Soltero,"3,60",5.1,217,1450000.0,,0,No admitido
S00331,11/12/2025,Industrial,Presencial,21,Soltero,"3,75",2.5,347,3160000.0,,1,Admitido
S00246,08/11/2025,Sistemas,Presencial,25,Soltero,"3,94",6.8,-,3370000.0,3.8,1,Admitido
S00067,18/12/2025,Sistemas,Virtual,30,Soltero,"3,46",,369,-999.0,5.0,1,Admitido
S00272,07/11/2025,Sistemas,Presencial,34,Soltero,"4,16",5.0,350,3880000.0,,1,Admitido
S00379,21/11/2025,Industrial,Presencial,34,CASADO ,"3,39",2.2,294,1000000.0,,1,Admitido
S00426,16/11/2025,Electrica,Presencial,31, SOLTERO,"3,70",3.0,288,1490000.0,,1,Admitido
S00544,20/10/2025,Industrial,Presencial,21,casado,"4,18",1.2,251,2720000.0,3.8,0,No admitido
S00560,30/11/2025,Sistemas,Presencial,32,Soltero,"3,75",9.1,295,-999.0,4.5,1,Admitido
S00121,21/10/2025,Sistemas,Presencial,28,Soltero,"4,57",4.6,348,4950000.0,,1,Admitido
S00320,26/09/2025,Industrial,Virtual,32,Casado,"3,68",,255,2180000.0,,1,Admitido
S00088,27/11/2025,Sistemas,Presencial,26,Soltero,"4,18",1.8,334,4350000.0,,0,No admitido
S00189,20/12/2025,Sistemas,Presencial,31,Casado,"3,99",4.2,341,3630000.0,4.1,1,Admitido
S00344,04/11/2025,Industrial,Virtual,36,Casado,"3,58",,244,2350000.0,3.1,0,No admitido
S00174,13/12/2025,Sistemas,Virtual,21,Casado,"3,07",5.2,359,5030000.0,,1,Admitido
S00490,09/09/2025,Electrica,Presencial,21, SOLTERO,"4,02",2.5,395,1810000.0,,1,Admitido
S00478,16/12/2025,Industrial,Virtual,21,Union libre,"3,97",,317,2280000.0,,1,Admitido
S00531,18/12/2025,Sistemas,Presencial,30,Soltero,"3,99",1.9,280,-999.0,3.8,1,Admitido
S00440,28/09/2025,Sistemas,Presencial,210,Casado,"4,30",6.2,407,-999.0,,1,Admitido
S00119,16/12/2025,Sistemas,Virtual,29,Soltero,"4,37",0.4,231,2530000.0,4.5,1,Admitido
S00120,28/10/2025,Electrica,Presencial,21,Soltero,"4,10",,321,1000000.0,,1,Admitido
S00329,19/09/2025,Sistemas,Virtual,22,Soltero,"4,18",2.2,293,-999.0,,1,Admitido
S00455,18/09/2025,Industrial,Virtual,26,Soltero ,"3,58",3.1,353,1500000.0,,1,Admitido
S00244,08/11/2025,Industrial,Presencial,32,Soltero,"4,54",5.9,395,1810000.0,,1,Admitido
S00139,01/10/2025,Industrial,Presencial,29,casado,"3,60",1.1,283,4340000.0,,0,No admitido
S00146,14/11/2025,Electrica,Presencial,30,Soltero,"3,97",6.5,291,2280000.0,,1,Admitido
S00149,06/10/2025,Industrial,Virtual,30,Casado,"4,45",3.8,392,1910000.0,,1,Admitido
S00345,14/12/2025,Sistemas,Presencial,32,Casado,"3,79",10.5,296,1830000.0,4.3,1,Admitido
S00529,07/12/2025,Sistemas,Virtual,21,Soltero ,"3,65",2.6,286,1160000.0,,0,No admitido
S00163,26/12/2025,Electrica,Presencial,31,Soltero,"3,97",1.5,278,7430000.0,4.2,0,No admitido
S00598,29/09/2025,Industrial,Virtual,23,Casado,"3,53",,291,3690000.0,,1,Admitido
S00115,06/12/2025,Sistemas,Presencial,32,Soltero,"3,35",7.8,344,3320000.0,4.0,1,Admitido
S90005,28/10/2025,Sistemas,Presencial,23,Casado,"3,97",,296,1000000.0,,1,Admitido
S00151,17/09/2025,Sistemas,Presencial,29,Soltero,"3,86",2.6,281,3160000.0,3.5,0,No admitido
S00584,07/11/2025,Sistemas,Presencial,26,Soltero,"3,88",4.9,326,1230000.0,,1,Admitido
S00391,10/12/2025,Industrial,Presencial,27,Soltero,"4,26",4.5,285,2010000.0,,1,Admitido
S00383,21/11/2025,Industrial,Virtual,37,Soltero,"3,39",,221,7780000.0,,0,No admitido
S00032,04/10/2025,Sistemas,Virtual,30,Soltero,"4,22",6.6,308,4330000.0,,1,Admitido
S00569,19/12/2025,Sistemas,Presencial,34,Union libre,"4,35",,265,3330000.0,4.1,1,Admitido
S00222,02/10/2025,Sistemas,Presencial,26,casado,"4,52",4.6,352,1180000.0,4.3,0,No admitido
S00336,07/10/2025,Sistemas,Presencial,39,Casado,"4,56",1.4,353,1000000.0,3.7,1,Admitido
S00021,15/09/2025,Sistemas,Presencial,31,Soltero,"4,43",7.4,416,-999.0,,1,Admitido
S00474,23/09/2025,Industrial,Presencial,29,Casado,"3,93",4.0,270,1000000.0,3.4,0,No admitido
S00114,23/11/2025,Electrica,Virtual,30, SOLTERO,"3,23",3.3,316,3720000.0,,1,Admitido
S00373,31/10/2025,Electrica,Virtual,29,Soltero,"4,23",2.9,328,71580000.0,,1,Admitido
S00001,31/10/2025,Industrial,Virtual,32,Casado,"4,53",2.9,273,1880000.0,,1,Admitido
S00257,28/10/2025,Sistemas,Presencial,23,Casado,"3,97",,296,1000000.0,,1,Admitido
S00446,09/09/2025,Industrial,Presencial,27,Soltero,"3,49",,364,3850000.0,,1,Admitido
S00314,23/12/2025,Industrial,Presencial,36,Soltero,"4,20",1.2,309,1650000.0,,1,Admitido
S00075,18/09/2025,Sistemas,Presencial,28,casado,"3,57",0.7,196,4060000.0,,0,No admitido
S00359,24/09/2025,Sistemas,Presencial,35,Casado,"3,05",1.1,295,3200000.0,,1,Admitido
S00541,28/12/2025,Electrica,Presencial,26,Casado,"3,89",2.5,393,5200000.0,,1,Admitido
S00003,17/09/2025,Industrial,Presencial,29,Casado,"3,71",6.3,348,2300000.0,,1,Admitido
S00593,29/09/2025,Electrica,Virtual,27,Union libre,"3,53",0.1,344,4080000.0,,0,No admitido
S00059,14/12/2025,Electrica,Presencial,22,Casado,"4,42",4.7,314,2340000.0,,1,Admitido
S00520,15/09/2025,Industrial,Presencial,30,Casado,"3,84",4.4,353,1020000.0,4.5,1,Admitido
S00404,05/11/2025,Industrial,Presencial,26,Soltero,"3,86",0.2,-,1810000.0,,0,No admitido
S00340,26/12/2025,Sistemas,Presencial,30,Soltero,"3,57",3.7,265,6090000.0,,1,Admitido
S00005,01/10/2025,Sistemas,Presencial,25,Casado,"3,69",6.3,295,7230000.0,,0,No admitido
