id_estudiante,programa,edad,estrato,trabaja,promedio_anterior,horas_estudio_semana,asistencia_pct,nota_final,aprobo
E0050,Sistemas,24,5,1,4.19,6.1,96.6,3.31,1
E0051,Sistemas,25,5,0,2.52,8.6,100.0,2.97,0
E0052,Sistemas,22,4,1,4.41,0.5,65.0,3.32,1
E0053,Electrica,24,2,0,3.83,10.8,100.0,3.41,1
E0054,Electrica,29,2,0,4.17,4.5,77.8,3.38,1
E0055,Electrica,26,4,1,3.06,11.4,88.8,3.66,1
E0056,Electrica,28,1,0,3.25,8.4,94.7,2.99,0
E0057,Industrial,29,6,0,3.72,6.2,77.0,3.65,1
E0058,Industrial,33,3,0,3.64,9.7,90.4,3.47,1
E0059,Sistemas,25,4,0,3.79,9.4,85.0,3.84,1
E0060,Sistemas,21,5,0,4.17,9.2,91.0,4.33,1
E0061,Electrica,32,3,0,2.8,13.4,88.1,3.56,1
E0062,Industrial,26,3,0,4.12,10.0,96.8,4.34,1
E0063,Industrial,32,3,1,3.65,2.9,80.7,2.54,0
E0064,Electrica,29,3,0,3.55,7.6,84.5,3.79,1
E0065,Industrial,26,3,0,2.94,16.9,95.9,3.36,1
E0066,Industrial,29,3,0,3.89,5.6,91.2,3.67,1
E0067,Industrial,36,5,0,2.49,10.7,92.6,3.09,1
E0068,Sistemas,36,3,1,3.96,10.7,74.0,3.66,1
E0069,Sistemas,27,2,1,2.93,8.2,70.6,2.8,0
E0070,Industrial,28,3,1,3.68,6.1,74.9,2.77,0
E0071,Sistemas,32,3,0,3.59,9.8,80.4,3.03,1
E0072,Industrial,23,2,0,4.21,11.6,93.1,4.43,1
E0073,Civil,28,2,0,3.56,5.6,94.8,3.47,1
E0074,Sistemas,27,4,0,3.32,8.7,84.6,3.72,1
E0075,Sistemas,28,3,0,3.41,23.3,98.9,4.32,1
E0076,Sistemas,23,6,1,4.26,7.9,92.3,3.23,1
E0077,Sistemas,21,2,0,3.91,9.3,88.2,4.09,1
E0078,Electrica,21,2,0,3.46,7.2,78.6,3.13,1
E0079,Industrial,22,4,0,3.54,5.6,100.0,3.57,1
E0080,Electrica,25,5,0,2.9,10.0,85.5,2.91,0
E0081,Electrica,26,2,0,3.84,10.3,87.1,4.33,1
E0082,Industrial,36,2,0,2.81,8.4,82.9,2.66,0
E0083,Electrica,32,2,1,4.01,25.0,72.0,4.17,1
E0084,Sistemas,23,3,0,3.71,5.9,72.8,3.31,1
E0085,Sistemas,29,3,0,4.8,5.1,91.7,3.73,1
E0086,Sistemas,25,2,0,3.12,7.2,78.9,3.17,1
E0087,Electrica,26,1,1,3.6,5.5,100.0,3.83,1
E0088,Industrial,28,3,0,4.51,5.5,76.2,3.61,1
E0089,Sistemas,30,6,1,4.22,6.9,68.7,3.52,1
E0090,Industrial,25,4,1,3.32,7.4,84.6,2.06,0
E0091,Sistemas,32,3,0,3.76,12.3,99.8,3.94,1
E0092,Electrica,22,2,1,3.65,3.6,80.6,2.87,0
E0093,Industrial,27,2,0,3.79,16.2,91.2,3.81,1
E0094,Sistemas,39,2,1,3.31,8.9,63.4,3.25,1
E0095,Sistemas,28,4,0,3.61,5.8,79.9,3.17,1
E0096,Industrial,33,5,1,2.88,2.4,70.3,2.26,0
E0097,Sistemas,27,5,0,3.71,7.5,68.9,3.19,1
E0098,Sistemas,30,6,0,3.87,10.4,87.1,3.11,1
E0099,Sistemas,27,6,0,3.54,11.2,65.8,2.99,0
E0100,Civil,26,6,1,2.87,8.9,68.1,2.99,0
E0101,Civil,23,1,0,4.12,22.6,81.2,3.8,1
E0102,Electrica,29,2,0,3.82,2.7,78.5,2.97,0
E0103,Sistemas,23,3,1,3.3,0.5,83.6,2.48,0
E0104,Civil,30,3,1,3.52,5.3,82.8,3.62,1
E0105,Electrica,32,2,0,2.93,21.7,94.0,4.16,1
E0106,Electrica,29,5,0,3.16,12.6,92.8,3.33,1
E0107,Industrial,26,3,0,3.39,5.0,96.3,3.74,1
E0108,Sistemas,29,3,1,4.24,6.6,80.0,3.24,1
E0109,Sistemas,26,2,0,3.34,8.0,88.7,3.69,1
E0110,Civil,31,2,1,3.96,4.8,84.6,2.81,0
E0111,Industrial,21,2,0,3.39,6.5,87.3,3.65,1
E0112,Sistemas,25,5,0,3.77,9.2,82.4,3.46,1
E0113,Sistemas,21,3,0,3.58,14.8,83.0,3.44,1
E0114,Industrial,21,4,0,4.07,6.9,78.6,3.54,1
E0115,Sistemas,33,2,1,3.39,8.9,83.8,3.24,1
E0116,Civil,31,3,0,2.9,13.0,85.2,3.12,1
E0117,Electrica,24,3,0,2.99,16.2,80.0,3.67,1
E0118,Electrica,21,4,1,3.39,2.4,74.0,2.48,0
E0119,Industrial,21,4,1,3.05,5.9,69.1,2.82,0
E0120,Industrial,25,2,1,3.85,3.1,88.8,3.32,1
E0121,Industrial,38,5,0,3.43,9.2,86.7,3.41,1
E0122,Industrial,29,2,0,4.79,9.2,78.2,4.03,1
E0123,Sistemas,24,5,1,2.82,1.7,87.3,2.48,0
E0124,Industrial,29,2,0,3.75,9.5,81.0,3.78,1
E0125,Sistemas,21,2,0,3.11,23.2,73.3,4.58,1
E0126,Industrial,26,5,1,3.41,8.2,89.2,3.51,1
E0127,Sistemas,27,2,0,3.72,4.1,81.2,3.62,1
E0128,Sistemas,27,3,0,2.53,5.2,82.3,3.69,1
E0129,Sistemas,31,3,1,3.76,5.6,80.4,3.34,1
E0130,Industrial,29,2,0,4.56,5.3,96.3,4.2,1
E0131,Sistemas,30,4,0,3.43,15.7,86.2,4.04,1
E0132,Civil,24,5,0,3.77,3.8,75.2,2.87,0
E0133,Industrial,31,5,0,4.14,11.3,90.9,3.88,1
E0134,Sistemas,34,3,0,3.57,3.3,81.6,2.97,0
E0135,Industrial,23,3,1,3.37,5.6,97.0,3.32,1
E0136,Sistemas,23,2,1,2.56,1.8,80.0,2.14,0
E0137,Civil,33,2,0,3.96,12.3,65.9,3.75,1
E0138,Industrial,26,2,0,3.6,14.5,89.2,4.24,1
E0139,Electrica,33,5,1,3.16,7.4,97.5,3.37,1
E0140,Sistemas,25,5,0,3.71,14.8,100.0,4.01,1
E0141,Industrial,34,4,0,3.37,1.8,100.0,2.9,0
E0142,Industrial,28,3,0,3.4,9.5,76.8,3.72,1
E0143,Civil,28,3,1,3.94,8.2,88.2,3.76,1
E0144,Industrial,34,3,0,3.01,11.9,79.5,2.68,0
E0145,Industrial,25,3,1,4.15,0.5,82.0,3.02,1
E0146,Sistemas,23,3,0,2.98,10.9,74.5,3.17,1
E0147,Sistemas,25,2,0,3.33,12.0,80.2,3.73,1
E0148,Industrial,29,2,0,4.57,9.4,79.9,4.4,1
E0149,Industrial,21,6,0,4.19,4.1,94.1,3.81,1
E0150,Sistemas,30,3,0,3.7,6.5,93.2,3.73,1
E0151,Electrica,25,6,0,3.2,15.8,88.5,3.7,1
E0152,Civil,32,2,0,3.4,14.9,73.8,3.35,1
E0153,Sistemas,21,3,0,3.69,11.1,83.2,3.57,1
E0154,Industrial,23,2,0,3.67,12.4,79.3,3.69,1
E0155,Sistemas,21,2,0,3.61,14.1,93.8,3.88,1
E0156,Electrica,23,1,1,3.64,8.0,90.6,2.66,0
E0157,Sistemas,28,2,0,3.55,15.6,95.5,3.82,1
E0158,Electrica,26,5,1,2.96,12.3,73.2,2.97,0
E0159,Electrica,26,3,1,3.4,23.7,55.3,3.55,1
E0160,Electrica,26,3,0,4.09,6.7,70.1,3.44,1
E0161,Sistemas,28,3,1,2.99,3.7,92.8,2.88,0
E0162,Civil,22,3,1,3.56,0.5,76.4,2.33,0
E0163,Sistemas,30,3,1,3.26,7.6,73.2,2.3,0
E0164,Sistemas,30,2,0,3.7,21.0,100.0,4.28,1
E0165,Industrial,29,6,0,3.46,16.2,97.4,4.23,1
E0166,Sistemas,30,4,0,4.36,13.2,86.2,4.82,1
E0167,Electrica,28,4,0,3.89,16.7,83.4,4.37,1
E0168,Electrica,36,3,1,3.02,8.3,78.8,2.31,0
E0169,Sistemas,27,2,1,3.97,4.5,82.0,3.16,1
E0170,Civil,26,5,0,3.28,23.6,100.0,4.37,1
E0171,Sistemas,24,3,1,3.37,7.9,83.8,3.14,1
E0172,Industrial,22,1,0,3.8,15.1,92.5,4.25,1
E0173,Sistemas,21,3,1,3.41,0.5,90.5,2.45,0
E0174,Civil,23,4,0,4.08,2.0,75.5,3.34,1
E0175,Sistemas,27,4,1,3.28,6.6,86.8,3.13,1
E0176,Sistemas,29,4,1,3.35,2.3,77.3,2.97,0
E0177,Industrial,27,4,0,3.33,10.1,63.4,2.89,0
E0178,Civil,24,2,0,3.38,6.7,66.8,2.93,0
E0179,Civil,31,5,1,4.18,25.6,70.8,3.46,1
E0180,Electrica,30,3,0,3.95,14.6,90.8,3.88,1
E0181,Civil,26,4,0,4.47,17.5,87.0,4.36,1
E0182,Civil,24,1,1,4.74,0.5,81.7,3.14,1
E0183,Industrial,29,6,0,3.16,13.1,100.0,3.68,1
E0184,Sistemas,28,2,0,3.68,8.0,74.6,3.38,1
E0185,Electrica,21,1,0,3.09,17.7,85.8,2.89,0
E0186,Electrica,27,3,0,3.28,12.1,88.7,3.6,1
E0187,Sistemas,28,2,1,3.35,5.6,73.4,2.5,0
E0188,Sistemas,23,2,0,3.14,4.4,86.3,3.16,1
E0189,Electrica,28,4,0,3.15,9.5,71.6,2.66,0
E0190,Sistemas,21,3,0,3.58,15.6,98.7,4.02,1
E0191,Civil,33,5,1,3.07,15.2,73.9,3.08,1
E0192,Sistemas,33,3,0,4.05,7.3,100.0,3.97,1
E0193,Sistemas,26,4,1,3.21,23.3,79.7,3.82,1
E0194,Electrica,29,3,1,5.0,12.0,89.3,4.28,1
E0195,Sistemas,21,4,1,3.43,2.3,79.5,2.22,0
E0196,Sistemas,22,3,1,3.68,1.6,79.7,2.37,0
E0197,Industrial,26,3,1,3.03,5.3,74.7,2.42,0
E0198,Civil,22,6,1,4.47,4.3,81.1,3.52,1
E0199,Sistemas,30,3,0,4.19,11.3,88.9,3.83,1
E0200,Sistemas,36,2,1,3.79,6.0,72.9,3.33,1
E0201,Electrica,22,4,0,3.0,7.6,84.9,2.97,0
E0202,Civil,23,5,0,3.75,3.5,80.5,2.91,0
E0203,Industrial,28,1,1,3.11,9.3,100.0,3.08,1
E0204,Sistemas,34,3,1,4.35,0.5,79.2,3.31,1
E0205,Sistemas,21,5,1,4.04,12.0,93.9,3.94,1
E0206,Sistemas,28,4,0,3.7,2.5,84.2,3.86,1
E0207,Sistemas,35,6,0,2.48,3.2,88.3,2.3,0
E0208,Electrica,21,3,0,3.18,5.3,74.1,2.9,0
E0209,Sistemas,21,4,0,3.98,6.9,82.0,3.75,1
E0210,Industrial,25,3,0,4.23,6.2,87.9,3.77,1
E0211,Electrica,25,5,0,4.18,6.9,100.0,3.75,1
E0212,Industrial,31,3,0,2.89,10.2,88.0,2.62,0
E0213,Sistemas,28,4,1,3.79,2.4,92.5,2.95,0
E0214,Electrica,21,3,0,4.14,10.2,91.8,3.61,1
E0215,Electrica,29,3,1,2.85,0.5,94.6,1.86,0
E0216,Electrica,24,4,0,3.65,5.3,85.5,3.06,1
E0217,Sistemas,33,3,0,3.78,3.1,100.0,3.1,1
E0218,Sistemas,24,5,0,3.51,15.0,81.6,3.95,1
E0219,Civil,24,3,0,2.76,5.8,79.1,2.96,0
E0220,Sistemas,29,4,1,3.49,8.9,69.1,2.73,0
E0221,Sistemas,30,3,0,3.49,2.7,100.0,3.17,1
E0222,Industrial,29,3,0,3.58,18.0,93.4,3.44,1
E0223,Electrica,21,3,1,3.38,6.3,77.0,2.74,0
E0224,Civil,29,2,1,3.44,19.5,91.2,3.98,1
E0225,Sistemas,22,2,0,3.63,8.7,92.2,3.88,1
E0226,Civil,28,4,0,3.86,3.5,100.0,3.29,1
E0227,Sistemas,21,4,0,3.5,4.9,72.1,3.45,1
E0228,Industrial,29,4,0,3.45,7.7,83.6,2.81,0
E0229,Industrial,23,1,0,3.69,5.0,81.8,2.88,0
E0230,Sistemas,21,3,0,2.73,14.2,68.2,3.32,1
E0231,Sistemas,30,2,1,3.88,6.1,89.5,3.94,1
E0232,Industrial,28,4,0,3.65,5.0,83.6,3.48,1
E0233,Civil,24,5,1,3.67,10.1,86.7,3.4,1
E0234,Industrial,34,2,0,4.11,7.2,100.0,3.13,1
E0235,Civil,25,4,1,2.71,9.8,76.8,1.99,0
E0236,Electrica,27,2,0,2.7,6.6,82.2,2.84,0
E0237,Industrial,28,2,1,3.78,8.5,81.1,3.21,1
E0238,Electrica,24,2,1,3.65,4.0,88.9,2.7,0
E0239,Sistemas,29,2,0,3.73,14.2,80.9,3.86,1
E0240,Sistemas,25,4,0,3.43,2.8,80.3,3.05,1
E0241,Electrica,25,5,0,3.97,4.2,95.5,3.92,1
E0242,Electrica,33,2,0,4.1,8.1,89.4,3.87,1
E0243,Sistemas,22,3,1,3.88,2.9,61.6,3.31,1
E0244,Industrial,21,4,0,3.52,6.9,75.0,3.24,1
E0245,Industrial,34,6,1,2.64,9.2,93.5,2.76,0
E0246,Civil,38,3,0,4.02,6.8,89.6,4.08,1
E0247,Industrial,25,2,0,4.24,10.4,79.1,3.58,1
E0248,Industrial,21,4,0,3.96,5.3,84.5,4.51,1
E0249,Sistemas,26,3,1,3.23,0.5,80.1,2.67,0
E0250,Industrial,26,6,1,3.97,9.8,86.6,3.72,1
E0251,Electrica,26,3,0,4.06,20.1,73.8,4.47,1
E0252,Civil,22,4,0,4.4,9.8,78.4,4.64,1
E0253,Industrial,30,1,1,3.23,5.3,82.5,3.11,1
E0254,Sistemas,29,3,0,3.54,9.3,85.1,2.93,0
E0255,Sistemas,21,5,1,4.01,13.8,85.1,4.3,1
E0256,Electrica,30,3,0,3.68,9.9,74.9,3.38,1
E0257,Electrica,36,3,0,3.11,13.1,89.2,3.52,1
E0258,Sistemas,28,5,0,3.85,12.8,95.8,3.55,1
E0259,Sistemas,25,5,0,3.93,14.8,90.4,4.28,1
E0260,Industrial,26,3,0,3.69,8.3,87.3,3.32,1
E0261,Sistemas,30,3,0,3.76,6.5,85.1,3.51,1
E0262,Electrica,21,3,1,3.53,8.6,72.5,2.99,0
E0263,Sistemas,28,4,0,4.36,14.3,85.4,4.95,1
E0264,Sistemas,25,3,0,3.22,15.7,97.3,4.47,1
E0265,Civil,35,2,0,3.37,17.8,84.9,3.87,1
E0266,Sistemas,26,5,0,3.66,13.7,78.0,3.75,1
E0267,Sistemas,35,5,0,4.07,6.3,81.6,3.49,1
E0268,Sistemas,22,5,0,2.93,9.8,87.8,3.56,1
E0269,Sistemas,30,6,1,3.02,6.4,76.6,2.58,0
E0270,Sistemas,28,4,0,2.67,8.9,90.4,2.84,0
E0271,Sistemas,23,4,1,3.67,8.6,84.7,3.65,1
E0272,Sistemas,28,4,0,3.11,7.8,94.0,3.06,1
E0273,Sistemas,32,3,1,3.47,4.9,92.8,3.05,1
E0274,Industrial,26,3,0,3.97,20.7,95.0,3.94,1
E0275,Electrica,21,2,0,3.34,8.5,77.6,3.49,1
E0276,Sistemas,27,4,1,3.76,11.8,71.9,4.08,1
E0277,Sistemas,23,2,1,3.51,12.2,79.3,3.6,1
E0278,Industrial,25,2,1,3.97,7.0,75.9,3.82,1
E0279,Civil,27,3,0,3.88,8.0,75.8,3.23,1
E0280,Civil,21,3,1,3.32,2.4,76.0,2.74,0
E0281,Sistemas,21,2,1,3.57,0.5,75.7,2.37,0
E0282,Sistemas,29,4,1,4.15,9.0,74.0,3.43,1
E0283,Sistemas,25,5,0,3.84,10.8,83.2,4.01,1
E0284,Sistemas,21,2,1,2.98,9.9,90.6,3.06,1
E0285,Industrial,31,1,1,3.96,3.7,81.8,2.7,0
E0286,Industrial,28,3,1,3.13,18.7,100.0,3.24,1
E0287,Sistemas,24,4,0,4.33,11.3,87.5,3.63,1
E0288,Sistemas,21,4,0,4.14,8.3,83.4,3.96,1
E0289,Industrial,31,2,1,3.79,0.5,80.0,3.61,1
E0290,Sistemas,29,4,0,3.73,7.2,88.3,4.0,1
E0291,Electrica,38,2,1,3.55,10.2,83.9,2.65,0
E0292,Sistemas,29,3,0,3.98,17.6,100.0,4.88,1
E0293,Civil,29,6,0,3.47,9.0,78.4,3.69,1
E0294,Sistemas,26,2,1,3.76,16.0,87.7,3.27,1
E0295,Electrica,31,2,0,4.07,5.1,87.9,3.52,1
E0296,Civil,30,3,0,3.38,11.0,71.9,3.72,1
E0297,Civil,33,3,1,3.35,8.1,86.9,3.31,1
E0298,Electrica,25,5,1,3.08,9.1,91.4,2.58,0
E0299,Electrica,25,6,1,3.14,6.7,72.3,2.95,0
E0300,Industrial,25,1,0,2.77,10.7,85.9,2.35,0
E0301,Electrica,31,2,0,4.0,5.1,70.5,3.31,1
E0302,Sistemas,34,4,1,4.52,13.7,68.7,4.34,1
E0303,Industrial,25,2,0,4.33,14.0,95.4,4.37,1
E0304,Industrial,25,5,0,2.87,10.5,81.8,2.93,0
E0305,Civil,28,4,0,4.0,14.2,76.0,4.26,1
E0306,Industrial,26,2,0,4.33,17.0,88.1,4.78,1
E0307,Sistemas,31,4,1,3.43,9.0,75.3,3.54,1
E0308,Industrial,21,2,1,3.7,19.9,75.8,4.16,1
E0309,Sistemas,23,3,1,2.69,9.5,86.7,3.15,1
E0310,Sistemas,23,3,0,3.78,5.5,75.5,3.58,1
E0311,Industrial,21,3,0,3.14,10.2,77.9,3.31,1
E0312,Industrial,23,4,0,3.75,14.5,87.4,3.96,1
E0313,Sistemas,23,4,0,2.9,17.0,94.7,3.54,1
E0314,Sistemas,26,6,0,3.91,9.8,97.1,3.46,1
E0315,Sistemas,32,6,0,4.14,5.3,80.0,3.25,1
E0316,Sistemas,26,3,0,3.27,7.9,94.4,3.26,1
E0317,Sistemas,22,2,0,3.1,4.0,78.9,2.95,0
E0318,Electrica,27,4,1,2.62,10.2,96.4,3.37,1
E0319,Sistemas,32,6,0,3.52,7.1,75.8,3.24,1
E0320,Civil,23,3,0,3.37,6.0,98.0,3.7,1
E0321,Civil,23,3,1,2.91,10.8,74.1,3.22,1
E0322,Industrial,30,3,1,3.87,15.8,98.1,3.9,1
E0323,Sistemas,26,1,1,3.43,3.0,85.3,3.07,1
E0324,Industrial,30,4,0,3.13,9.8,76.9,3.09,1
E0325,Electrica,27,3,1,3.38,5.1,75.3,3.3,1
E0326,Electrica,30,4,0,4.16,17.4,93.0,4.63,1
E0327,Electrica,22,4,0,3.94,8.6,95.5,3.4,1
E0328,Industrial,27,4,0,3.59,5.0,85.4,3.34,1
E0329,Industrial,26,3,0,3.95,8.8,86.4,4.31,1
E0330,Sistemas,22,3,0,3.09,15.6,92.8,3.58,1
E0331,Electrica,21,4,0,3.67,7.9,87.2,3.67,1
E0332,Sistemas,30,4,1,3.72,3.4,68.4,3.07,1
E0333,Electrica,25,3,0,3.42,8.4,78.7,2.94,0
E0334,Civil,22,5,0,3.86,5.1,88.1,3.67,1
E0335,Sistemas,27,2,0,3.28,8.1,96.9,2.9,0
E0336,Industrial,32,5,0,3.89,6.6,100.0,3.51,1
E0337,Sistemas,21,2,0,3.91,25.0,93.0,5.0,1
E0338,Electrica,21,2,0,2.25,2.6,88.6,2.49,0
E0339,Sistemas,23,3,0,4.22,5.5,92.7,3.68,1
E0340,Civil,34,1,1,2.19,3.4,74.0,2.14,0
E0341,Sistemas,28,1,1,3.35,2.1,78.6,2.67,0
E0342,Civil,30,1,0,4.14,11.0,78.6,3.89,1
E0343,Electrica,22,3,1,3.5,3.0,68.8,2.95,0
E0344,Industrial,22,4,1,2.95,0.7,83.0,2.16,0
E0345,Electrica,29,1,1,3.13,6.4,81.7,2.83,0
E0346,Electrica,27,4,0,4.14,7.6,92.2,3.74,1
E0347,Civil,29,4,1,2.73,3.1,84.9,1.87,0
E0348,Sistemas,26,2,1,4.19,14.2,82.2,3.59,1
E0349,Industrial,28,2,1,3.62,8.2,85.0,3.81,1
E0350,Sistemas,28,5,0,3.08,10.6,85.6,3.42,1
E0351,Industrial,30,4,0,3.37,11.4,89.7,3.09,1
E0352,Sistemas,31,3,0,3.16,11.1,79.5,2.75,0
E0353,Industrial,21,4,0,4.07,7.8,89.3,3.74,1
E0354,Industrial,21,2,0,4.0,6.0,92.0,4.22,1
E0355,Industrial,32,3,0,2.82,9.5,80.0,2.94,0
E0356,Industrial,32,4,0,3.46,7.7,86.5,3.83,1
E0357,Electrica,22,2,0,3.24,2.6,80.4,3.01,1
E0358,Electrica,21,4,1,4.27,1.9,75.3,3.37,1
E0359,Industrial,27,3,0,3.0,7.2,75.9,2.48,0
E0360,Industrial,31,4,0,4.42,14.0,97.4,4.76,1
E0361,Civil,35,3,1,3.63,6.5,89.6,3.11,1
E0362,Sistemas,29,3,1,3.09,2.4,84.8,2.91,0
E0363,Sistemas,25,2,1,3.32,1.6,97.7,2.57,0
E0364,Sistemas,23,2,1,3.27,12.5,78.3,3.26,1
E0365,Electrica,27,4,1,3.04,5.0,100.0,3.01,1
E0366,Industrial,26,2,0,3.7,1.1,84.0,3.07,1
E0367,Electrica,22,2,0,3.06,8.3,88.3,3.32,1
E0368,Electrica,36,2,0,2.6,12.5,82.4,2.96,0
E0369,Sistemas,35,2,0,3.47,4.5,89.4,3.0,1
E0370,Civil,32,4,1,2.78,6.1,87.5,3.22,1
E0371,Electrica,23,3,0,3.29,9.6,85.0,3.72,1
E0372,Sistemas,31,6,0,3.21,4.7,100.0,2.93,0
E0373,Sistemas,30,2,0,3.23,16.2,88.2,3.91,1
E0374,Sistemas,29,4,0,4.61,9.7,88.4,3.95,1
E0375,Sistemas,33,3,0,3.68,7.2,77.8,2.97,0
E0376,Sistemas,30,3,0,3.77,8.0,89.8,3.98,1
E0377,Civil,30,5,1,2.8,1.2,78.8,1.7,0
E0378,Industrial,30,6,0,3.34,4.1,80.5,3.35,1
E0379,Sistemas,29,5,1,3.75,3.8,73.0,2.88,0
E0380,Electrica,21,2,1,3.16,4.1,100.0,2.84,0
E0381,Industrial,27,2,0,4.09,7.8,83.6,3.87,1
E0382,Civil,24,4,0,3.07,16.9,72.9,3.69,1
E0383,Electrica,21,2,1,3.51,9.1,73.7,2.83,0
E0384,Industrial,35,4,0,3.37,2.9,85.5,3.29,1
E0385,Sistemas,35,3,1,3.73,12.3,84.9,3.59,1
E0386,Civil,33,3,0,3.34,6.8,91.0,2.86,0
E0387,Electrica,28,4,1,3.52,9.7,86.1,3.23,1
E0388,Civil,33,4,1,3.54,4.1,74.2,3.35,1
E0389,Sistemas,27,1,0,3.3,9.3,89.1,3.97,1
E0390,Civil,28,1,0,3.88,4.4,78.1,3.61,1
E0391,Industrial,22,3,1,3.76,7.4,74.4,2.77,0
E0392,Sistemas,29,3,0,3.61,13.4,77.7,3.85,1
E0393,Industrial,27,2,0,3.44,3.3,75.3,3.29,1
E0394,Electrica,21,3,0,4.03,13.6,95.6,4.4,1
E0395,Sistemas,27,4,0,3.54,6.0,92.2,3.66,1
E0396,Industrial,27,4,1,3.5,16.6,88.8,3.82,1
E0397,Electrica,35,3,1,3.7,9.8,80.4,3.32,1
E0398,Sistemas,31,3,0,4.46,11.7,93.0,4.07,1
E0399,Industrial,27,2,1,3.01,5.1,64.1,1.81,0
E0400,Industrial,28,3,0,4.02,27.3,93.8,4.99,1
